shape, chamfer_dist
ShapeNetV2/04256520/cc644fad0b76a441d84c7dc40ac6d743, 0.00014379965735785295
ShapeNetV2/04256520/cca6e720741a6d00f51f77a6d7299806, 0.0002587704307515845
ShapeNetV2/04256520/ccb08f869edde5e6d8adf1ca87495d41, 0.0006027033986362049
ShapeNetV2/04256520/ccd0c5e06744ad9a5ca7e476d2d4a26e, 0.0007027137313493414
ShapeNetV2/04256520/cceaeed0d8cf5bdbca68d7e2f215cb19, 0.0037906304343962405
ShapeNetV2/04256520/cd1086902b5eb749f51f77a6d7299806, 0.0007323583184969455
ShapeNetV2/04256520/cd10e95d1501ed6719fb4103277a6b93, 0.002660042036630103
ShapeNetV2/04256520/cd249bd432c4bc75b82cf928f6ed5338, 0.0020904810606203685
ShapeNetV2/04256520/cd2a6bf7effd529de96ac0c4e1fb9b1a, 0.0020322043077933877
ShapeNetV2/04256520/cd47287d6da7492e64810cc21086da42, 0.0003086667476147198
ShapeNetV2/04256520/cd74a153b605c6a3cabc196a7f35f1aa, 0.0023210808033596667
ShapeNetV2/04256520/cd9ef0c92376e604963cdf8b01c64c16, 0.002509055915412304
ShapeNetV2/04256520/cde1943d3681d3dc4194871f9a6dae1d, 0.0011508152159031798
ShapeNetV2/04256520/ce424dd12ccad62575206c207a147264, 0.0006389471419756839
ShapeNetV2/04256520/ce99ea72f222e7d58bf939d21e50c410, 0.0004335262531935501
ShapeNetV2/04256520/ceb04c53d8aae1319fb4103277a6b93, 0.0006508484312101897
ShapeNetV2/04256520/cef25c3f7412814b4b3c42e318f3affc, 0.0004630225533944839
ShapeNetV2/04256520/cf027d5b0debe18321bdbc0445d9f748, 0.005986579321991847
ShapeNetV2/04256520/cf47942a67cae94eab49dceef0d15b99, 0.0004885902991375306
ShapeNetV2/04256520/cf571875efbd60fd3d2617f9171b5ccb, 0.0010306343932834318
ShapeNetV2/04256520/cf651c9562d9267032a526e2e9a7e9ae, 0.006564799024195872
ShapeNetV2/04256520/cf651d12e2048e1a4b3c42e318f3affc, 0.0005177131272499299
ShapeNetV2/04256520/cf81e26374530f8fc08abcaf67cf0417, 0.01408608292849527
ShapeNetV2/04256520/cfa5feb7486f88ee1b8fe07f15de05f7, 0.0009136345311783855
ShapeNetV2/04256520/cff485b2c98410135dda488a4bbb1e1, 0.00032966533279533576
ShapeNetV2/04256520/d04a6f268f16bae7d472d3bb6a889c20, 0.00028804354411533567
ShapeNetV2/04256520/d053e745b565fa391c1b3b2ed8d13bf8, 0.0005271608889370307
ShapeNetV2/04256520/d08fc6f10d07dfd8c05575120a46cd3b, 0.007924783948925705
ShapeNetV2/04256520/d09b21e5a16c2a0ea29038f04db9492a, 0.00036903320250088553
ShapeNetV2/04256520/d0b06478f56a1306e8f8c11a24c52ebb, 0.001341631898673119
ShapeNetV2/04256520/d0b33818a29689a8ab5d9b3550c46460, 0.0019648115397273677
ShapeNetV2/04256520/d0bdb5de2ae0de1adfa4ff010b8b9d1c, 0.00014031489253933972
ShapeNetV2/04256520/d0ce2d65a1f3f7f0942fb082e747f0bc, 0.0023157398947107866
ShapeNetV2/04256520/d0e419a11fd8f4bce589b08489d157d, 0.0012940439696385417
ShapeNetV2/04256520/d0fcb2993379cf9ed72ff9ec64cb596d, 0.0007861722026157386
ShapeNetV2/04256520/d116e9440f64d7a0e7791a1581855f1e, 0.00016254317852625673
ShapeNetV2/04256520/d15ccf2af52a95f619fb4103277a6b93, 0.0012240842893780838
ShapeNetV2/04256520/d1738a15fe737103917b96045c9b6dea, 0.0003747164573357306
ShapeNetV2/04256520/d1784efbc243913940ef1c8b63a628f9, 0.0018198289079927469
ShapeNetV2/04256520/d2018df95fe894c388acc944857403a5, 0.0008998301717684947
